31,Cabinet radio ,,"Music Masters Radio Company was the largest manufacturer of radios and radiograms in Queensland in the 1930s and 1940s, making well-crafted, fashionable items like this cabinet radio for lounge rooms across the country. Founded by William Thomas Kelly and Jim Grant, Music Masters was first based under a house in Auchenflower, Brisbane. Music Masters then moved to Brisbane's CBD, with a factory on Elizabeth Street and a showroom on Adelaide Street. In 1937, due to popular demand, it was forced to move production to a larger factory in South Brisbane where this polished wood veneer radio cabinet was made.",H25518,DB2457,
32,Traegar pedal radio transceiver,,"This pedal radio was invented by Alfred Hermann Traeger (1895-1980), an engineer employed by the Royal Flying Doctor Service from 1926. After an outback tour of duty, Traeger began work in Adelaide on a transceiver for the Flying Doctor network. The sets had to be cheap, durable, small and easy to operate. Using bicycle pedals to drive the generator, he found that a person could comfortably achieve 20 watts of pedal power, which could run the transceiver. The first pedal sets were introduced in Queensland in 1929.",H19821,db2466,
33,Goat cart,,"Goats were once an important part of Queensland life, particularly in rural areas during the 18th and 19th centuries.  They cost little or nothing to feed, thriving where other livestock would die.  They also provided meat, butter, milk, cheese and pelts for floor rugs.  Commonly, goats were used to pull small carts such as this. The name goat cart was often shortened to go-cart and in Australia they were also called billycarts.  Neighbourhood goat cart racing was a popular pastime, but goat carts were also used to transport children to and from school and church, and to carry firewood, water and other produce. ",H45405,db2472,
34,Ball gown,,"This elaborate gown was designed and made by Mrs Janet Walker, Brisbane's leading 19th century costumier.  Janet Walker offered both made to measure and ready to wear garments, ensuring the individuality of gowns by only importing just enough fabric, trimming and lace to make that piece. From 1882 until her retirement in 1938, her designs were worn by elite clientele to society weddings, balls, receptions and government events.  This gown was worn by Mrs Barbara Jane Drury, wife of Edward Robert Drury, former manager of the Queensland National Bank.",H42023,db3338,
35,Limelight ,,"Her Majesty's Theatre was one of Brisbane's most popular performance venues. Actors such as Laurence Olivier, Vivien Leigh and Dame Nellie Melba trod the boards at Her Majesty's. This limelight is thought to have come from that theatre. Limelight was an intense white light produced by directing jets of burning oxygen and hydrogen against a stick of lime (calcium oxide). The lime glowed white hot, creating an intense light which could be focussed, making it perfect for the stage. Lead actors and musicians would often have the limelight trained on them throughout a performance, hence the term 'in the limelight'. ",h2565,db3716,
36,Lucinda chair ,,"This seat was taken from the SS Lucinda. A symbol of Australian democracy, the SS Lucinda paddle steamer belonged to the pre-Federation government of Queensland and many constitutional debates took place on board. In 1891, while it was cruising on the Hawkesbury River in New South Wales, then Premier of Queensland Sir Samuel Griffith chaired the committee that drafted the Federal Constitution for the future Commonwealth of Australia. SS Lucinda was mostly used to convey the Queensland Governor, members of parliament and other dignitaries to coastal towns throughout central and northern Queensland.",H25296,db3730,
37,Dugong oil,,"Throughout the late 19th century dugong oil was believed to have medicinal properties. Chemists promoted its curative properties, selling bottles to the sick and ailing. This bottle of standardised, medicinally purified dugong oil was dispensed by Chemist Roush, a well-known Brisbane pharmacy located on the cross roads of Brunswick and Wickham Streets in Fortitude Valley during the 1890s. Adults were prescribed one tablespoon, three times per day, whereas children were dosed 'in proportion'. By the mid 20th century the medicinal properties of dugong oil were exposed as medical quackery.",H28369,db3736,
38,Cinema advertising slide ,,"This slide was prepared to promote the Red Cross Blood Bank in the Bundaberg region. The message encourages people to 'help build' the Blood Bank by donating blood, and for their service they would be given a fee.  The slide was made by H.B Green & Co, a prominent Queen Street slide maker.",H47736,DB4408,
39,WW2 Civil Defence helmet,,"This helmet is believed to have been used in Brisbane by Dr Pat Marks, a leading entomologist and malaria researcher from Queensland. During World War II, Dr Marks was a volunteer with the Women's National Emergency Legion and an unofficial land army. She then became a team member in the official Land Army's mine watchers. They would bunker down in shelters and keep watch for enemies attempting to lay mines in the Brisbane River.",H46832,DB4815,
40,Ericofon telephone,,"The Ericofon was a revolutionary design. It combined the dial and handset in one streamlined unit for the first time. Manufactured by Ericsson from the late 1950s until the 1970s, the Ericofon was available in a range of fashion colours and was marketed primarily to female consumers. It was popularised in Australia by its regular use in the local television show <i>Homicide</i>. ",H26975,db4818,
41,Kodak folding pocket camera,,"This camera was owned by Captain Leslie Russell Blake, Queensland geologist and cartographer, and was possibly used by Blake on the 1913-1914 Mawson Antarctic Expedition. Blake took leave from the Geological Survey Department to travel to the Antarctic and his responsibilities during the expedition were to map and complete a topographic survey of Macquarie Island - 170 square kilometres of rugged terrain.  He was also required to describe the geology of the Island through rock specimens.  This model was Kodak's first postcard format camera, folding down for easy transport and storage.",H10672,db4829,
42,Pineapple peeler,,"Pineapples are synonymous with the tropical produce of Queensland. In 1971 Brisbane resident, Ray Ashdown, watched his wife skin a pineapple before slicing it. Convinced there was a better way, he devised this prototype pineapple peeler. Ray took his prototype to the ABC Inventors programme, where it was featured in 1970. After an enthusiastic response it was developed, patented, manufactured and sold worldwide with the slogan 'makes eating pineapple a real pleasure'. The final product was made with yellow plastic. It made a colourful and useful addition to Queensland kitchen drawers.",H22737,DB4886,
43,Portable altar set,,"This portable silver-plated altar set from the Darling Downs region was made in the late 19th century. Sometimes called 'sick call sets', these kits would be kept at remote homesteads so that visiting priests would have the necessary implements to hand for blessings or sacraments when there was no church nearby.  The kit includes a crucifix, a candelabrum, plates, an oil bowl and an anointing brush.",H27692,db4906,
44,Airmail bag ,,"This mail bag was used by QANTAS to transport mail on the very first airmail service between Australia and England in 1931.Traditionally, mail to England travelled first on horseback or Cobb & Co. coach, followed by a 32-day sea journey.  The first experimental flight saw QANTAS Captain Russell Tapp fly from Brisbane to Darwin. Tapp passed the bag on to Charles Kingsford-Smith who flew the letters from Darwin to Burma in his plane the <i>Southern Cross</i>.  From Burma, Britain's Imperial Airways flew the letters to London, where they arrived only 13 days after leaving Brisbane.  ",H3077,db4917,
45,Chair ,,"This openwork pattern chair is believed to have been made by Allied prisoners of war working on the Thai-Burma Railway, some time during their incarceration by Japanese military forces between 1942 and 1945. An excellent example of the ingenuity, creativity and resourcefulness of the POWs, it is one of two similar chairs recovered from the region by an Australian member of the occupation forces at the end of World War 11.",H46835,db4925,
46,Carved whale's tooth,,"Scrimshaw is the name given to display pieces made from the bones and teeth of marine mammals such as whales. This whale tooth has been etched on one side with the picture of two sailing ships, and on the other, with one sailing ship and the tail of a diving whale. When whales were hunted for their blubber, there was a surplus of whale bone and teeth. Sailors would create tools of trade using this pliable and plentiful resource. Scrimshanders, as they were known, would also create less practical objects like this one as a leisure pursuit.",H25121,db4945,
47,Jantzen swimsuit,,"This is a man's bathing costume of the style made between the 1920s and 1940s. Constructed with modesty in mind, it incorporated a full skirt for extra coverage. These woollen jersey swimsuits were very heavy when wet. The suit was made in Australia by Jantzen, an American swimwear company that has operated since 1910 producing both fashion and athletic swimming costumes. This particular swimsuit was purchased at Finney Isles & Co in Queen Street, Brisbane, a major department store established in 1864. ",H42359,db4965,
48,Peter Beattie's dragon statue,,"One of a pair, this Chinese dragon statue was presented to former Queensland Premier Peter Beattie by the Chinese community of Queensland. During his time as premier, Beattie embraced the multicultural nature of Queensland society and held a clear stance against racism.  This gift was given in recognition of his views. Beattie was elected to Parliament as the Member for Brisbane Central in 1989.  He became leader of the Labor Party in 1996 and premier of Queensland in 1998.  Beattie identified this pair of dragon statues as one of the most evocative gifts he received during his time as premier. ",H25561,db5074,
49,Kenniff Cave excavations,,Kenniff Cave was the first scientifically dated archaeological site extending Aboriginal occupation back to the late Pleistocene. The excavations by John Mulvaney revealed that Aboriginal occupation extended beyond the last ice age and provided at that time the earliest evidence for rock art in the world.,,db8004.tif,
50,Mutoscope,,"The Mutoscope was invented by Herbert Cassler in 1894. When the crank is wound, a reel of still photographs on card is rotated to create a short film; much like a flipbook creates the illusion of movement. This particular model was made during the Mutoscope revival of the 1920s-1940s. Despite the machine's popularity with children at fairgrounds and amusement arcades, many films made for the Mutoscope contained 'adult' content. Famous film titles included 'Wiggling Wonders' and 'A Peeping Tom'. Unlike adult cinemas at the time, Mutoscopes were easily accessible and the Mutoscope became notorious for revealing smut to children.",H14942,db5163,
51,Prison escape chairs,,"These six sawn plastic chairs were used by Brenden James Abbott, the 'postcard bandit', to break out of Sir David Longlands Correctional Centre, Wacol, in 1997. Ten years earlier Abbott was sentenced to 12 years in Fremantle Prison for robbery. He served two, escaping in 1989. He was dubbed the 'postcard bandit' after the media misreported that he had sent a series of postcards and photographs of himself to the police. He was eventually caught in 1995 on the Gold Coast. After only two years he escaped again using these chairs as a ladder. Six months later he was caught for the last time.",H46005,db7975,
52,Condom vending machine,,"This condom vending machine was ripped down from the University of Queensland student refectory at St Lucia in 1987 by the Queensland police in one of a series of midnight raids, under the orders of then Premier Joh Bjelke-Petersen. This well-documented and widely discussed political event reflected discontent about policy among sitting members of the National Party government. Then Health Minister Mike Ahern and Party President Robert Sparkes wanted the machines installed throughout the state as part of an AIDS offensive, while the Premier did not. In November 1987 Bjelke-Petersen was overthrown and replaced by Mike Ahern as National Party leader.",H1620,db7978,
53,Kreisler radio,,"Radio broadcasts provided very important connections for people living throughout Queensland. In remote areas radio programs were a link with the outside world and provided vital information and entertainment. This elegant Kriesler Radio, made around 1947, indicates the importance of these objects in Queensland homes. The use of plastics in radio casings enabled manufacturers to create a variety of shapes and colours with some highly aesthetic results. ",H45332,db2427,
54,Bikini,,"This navy and white reversible bikini was made by Queensland fashion designer Paula Stafford for her daughter, Francis Stafford, in the mid 1960s. Paula Stafford operated from the Gold Coast, and as the controversy over the briefness of Stafford bikinis grew, so too did the popularity of the Stafford brand and Paula's risque styles were quickly embraced by beach bunnies across the country. Considered the pioneer of Australian swimwear, and our most well known bikini designer, Stafford is now in her nineties and still resides on the Gold Coast.",H19831.1-2,db4967,
55,Coastal Taipan,Oxyuranus scutellatus,"The Coastal Taipan grows to 2.9 metres. This snake is known from north-western Western Australia, the northern Northern Territory, across Cape York Peninsula and coastally through eastern Queensland to Grafton (New South Wales).  It lives in open forests, dry closed forests, coastal heaths, grassy beach dunes and cane fields. This species is active during day and also in early evening during hot weather.  It possesses the third most toxic venom of any Australian  land snake.and is responsible for human deaths. If bitten, apply first aid and seek urgent medical attention. The Coastal Taipan feeds on mammals including small rodents, bandicoots and quolls. ",,AE7 Oxyuranus scutellatus.jpg,
56,Monkey-faced Jumping Spider,Mopsus mormon,"One of the largest jumping spiders found in Australia, this beautiful spider can leap more than 20 times its body length.  With four pairs of eyes, each seeing a different perspective, the Monkey-faced Spider has excellent telephoto eyesight.  They are the only spider family that can turn their head. Named for the beard on the face of males, the Monkey-faced Spider is found on plants. During mating season, the female will weave a tunnel-like nest with three compartments, one each for the egg sac, their mate and themselves.  While not toxic to humans, they are known to give a painful bite.",,mopsus_mormon_ns838_jw.tif,
57,Giant Red Bull Ant ,Myrmecia gulosa,"The Giant Red Bull Ant, <i>Mymecia gulosa</i>, is one of the largest <i>Mymecia</i> species, almost reaching two and a half centimetres in length. It was one of the first insects to be named from Australia and obviously captured the attention of Sir Joseph Banks who collected it on Captain Cook's voyage in 1770. It occurs in open forest and woodlands from southern Queensland to Victoria. Bull ants have extremely keen vision, massive jaws and an extremely potent, painful sting, making them formidable hunters. They prey on insects and other spineless game that they bring back to their underground nests to feed the legless, white ant grubs.",,myrmecia_gulosa_ox746_jw.tif,
58,Three-punctured Diving Beetle,Cybister tripunctatus,"The smooth, streamlined body of the Three-punctured Diving Beetle is designed to slip easily through water. Both the adults and larvae of this beetle are aquatic predators living in lakes, dams and pools in rivers. The winged adults are able to fly off at night in search of a new home if their pools begin to dry up. Following a record wet season in 2010 and 2011, populations of the Three-punctured Diving Beetle exploded in Queensland. As flood waters receded, thousands upon thousands of migrating beetles descended on coastal cites and towns in south-eastern Queensland in March 2011, attracted to their bright lights.",,cybister_tripunctatus_pq562_jw.tif,
59,Richmond Birdwing,Ornithoptera richmondia,"The Richmond Birdwing is one of Australia's largest and most spectacular butterflies. The drab-coloured females are huge, with a wingspan of nearly 15 centimetres, but it's the black and metallic green males that are truly eye-catching. The Richmond Birdwing occurs only in rainforest in south-east Queensland and north-east New South Wales. The distribution of the Richmond Birdwing has contracted to less than half its former range due the clearing of rainforest, especially in the lowlands. Programs to replant the food plants of the caterpillars are attempting to reverse the decline of this beautiful butterfly.",,cosmozosteria_subzonata_pj968_jw.jpg,
60,Barred cockroach,Cosmozosteria subzonata,"Australia has more than 400 cockroach species living in the bush. One of these is the Barred Cockroach, common in sandy coastal areas from Gladstone, Queensland, to northern New South Wales. Adult Barred Cockroaches are a dark reddish-brown with a very conspicuous yellow edge around the body and three yellow bars across the thorax. Most cockroaches are nocturnal, but the Barred Cockroach forages on the ground during the day time. Its bold colour pattern is a warning to predators as it releases copious amounts of a smelly secretion when threatened.",,cosmozosteria_subzonata_pj968_jw.tif,
61,Cooloola Monster,Cooloola propator,"In 1976 Queensland Museum scientists discovered a bizarre cricket-like beast in the Cooloola region north of Brisbane. They dubbed it the Cooloola monster. Officially named <i>Cooloola propator</i> in 1986, the Cooloola monster caused quite a stir in the insect world. It was so strange it needed a group of its own - Cooloolidae - the first new family of crickets or grasshoppers for nearly 100 years. Females are large and fat and live entirely underground, while males surface on rainy nights to search for a mate. In the 20 years since the Cooloola monster was discovered, three more species have been described in Queensland.",,cooloola_pearsoni_nm700_jw.tif,
62,Green lacewing,Mallada traviata,"<i>Mallada traviata</i> is one of several species of green lacewings common in Queensland suburban gardens. Both the adults and larvae are predatory, feeding on aphids and other sap-sucking plant pests. The larvae are highly mobile grubs that roam over the foliage of plants in search of their next meal. They impale their prey with their large curved jaws, injecting powerful saliva to liquefy their prey's internal tissues and suck them dry. As gruesome as this sounds, it gets worse. The lacewing larva takes its prey's empty husk and attaches it to the top of its body, providing a disguise from its own predators.",,mallada_traviata_ot303_jw.tif,
63,Giant rainforest mantid,Hierodula majuscula,"These large mantids are powerful predators. They mostly feed on other insects but are also known to capture small frogs and lizards. Native to northern Queensland, their leafy-green colour blends in perfectly with rainforest foliage. The popular notion that male mantids are eaten by the female during or after mating is only partly true. This probably happens in only a few species and certainly doesn't happen all the time. Most males survive, but those of the Giant Rainforest Mantid are amongst the unlucky ones. They often lose their heads to the female but are still able to mate successfully, sometimes for up to 12 hours",,hierodula_sp_ns068_jw..tif,
64,Gum Tree Shield Bug,Theseus modestus,"The Gum Tree Shield Bug is one of more than 550 species of Australian stink and shield bugs. Both the adults and nymphs of this group of bugs secrete a strong, corrosive, smelly substance as a defence mechanism against predators. If this substance comes in contact with your eyes it can be extremely painful. Adults of the Gum Tree Shield Bug roam the trunks of gum trees where they are well camouflaged by their mottled grey and black. In contrast, their rounded nymphs are conspicuously patterned with black and white. They usually shelter in clusters beneath loose bark.",,theseus_modestus_pl497_jw.tif,
